,Unnamed: 0,asin,product,date,verified,title,desc,reviewer_name,rating,title_desc
219,219,B01DLPUWGW,,"July 14, 2020",Verified Purchase,Shipping damage,"  Drain pipe was broken in plug. Fixable, but annoying.",Amazon Customer,3.0,"Shipping damage  Drain pipe was broken in plug. Fixable, but annoying."
220,220,B01DLPUWGW,,"July 11, 2020",Verified Purchase,good ac,  it is really good ac.thanks guys,Ozzy1903 ,5.0,good ac  it is really good ac.thanks guys
221,221,B01DLPUWGW,,"July 11, 2020",Verified Purchase,Saving grace in a humid heatwave,  This unit is a decent size but its not so incredibly bulky that its difficult to move around. Easy to set up. I let this run all night and woke up in an icebox of a bedroom. I live in an old house wear humid summers make staying inside and outside unbearable. This was perfect for me. I'm even considering buying another one for the opposite side of my apartment!,Bee Tea,5.0,Saving grace in a humid heatwave  This unit is a decent size but its not so incredibly bulky that its difficult to move around. Easy to set up. I let this run all night and woke up in an icebox of a bedroom. I live in an old house wear humid summers make staying inside and outside unbearable. This was perfect for me. I'm even considering buying another one for the opposite side of my apartment!
222,222,B01DLPUWGW,,"July 10, 2020",Verified Purchase,"Small frustrations, still happy","  For the most part, we love this. The problem is that in the last 2 months the remote has stopped working twice, I change the rechargeable batteries...it works, I plug the batteries in to recharge, they still have half a charge. Once, the control panel on the device quit as well, we unplugged it, waited, plugged it back in, still not working. Tried again, but decided to drain it even though the panel didn't indicate any problems. That must have been it, it's working again.",Brat79,4.0,"Small frustrations, still happy  For the most part, we love this. The problem is that in the last 2 months the remote has stopped working twice, I change the rechargeable batteries...it works, I plug the batteries in to recharge, they still have half a charge. Once, the control panel on the device quit as well, we unplugged it, waited, plugged it back in, still not working. Tried again, but decided to drain it even though the panel didn't indicate any problems. That must have been it, it's working again."
223,223,B01DLPUWGW,,"July 9, 2020",Verified Purchase,"So far so good,not a heater,the vent hose heats up if used for longer .'s of time. Possibly normal-","  I have to wait at least 24 hours to set this up since it was delivered upside down even though the package clearly states to keep in upright. This is a little investment that we can't really afford in these desparate times. I appreciate it was delivered to my door, that rarely happens, so thank you for that. Hopefully this unit lasts more than one summer. I cannot afford another one so. I will be back with a full review once I am able to set it up.Update*it was somewhat difficult to get up the stairs- and when we move, I am sure it will be even more difficult getting it down two flights of stairs. Maybe that quality, it works super well for the one room, it's nice to be able to work and sleep without suffering the heat. I am happy for this, although I haven't received an electric bill yet. For me and my household this works, I might have to invest in another one for upstairs-maybe next year?  Yeah right.",Trace,4.0,"So far so good,not a heater,the vent hose heats up if used for longer .'s of time. Possibly normal-  I have to wait at least 24 hours to set this up since it was delivered upside down even though the package clearly states to keep in upright. This is a little investment that we can't really afford in these desparate times. I appreciate it was delivered to my door, that rarely happens, so thank you for that. Hopefully this unit lasts more than one summer. I cannot afford another one so. I will be back with a full review once I am able to set it up.Update*it was somewhat difficult to get up the stairs- and when we move, I am sure it will be even more difficult getting it down two flights of stairs. Maybe that quality, it works super well for the one room, it's nice to be able to work and sleep without suffering the heat. I am happy for this, although I haven't received an electric bill yet. For me and my household this works, I might have to invest in another one for upstairs-maybe next year?  Yeah right."
224,224,B08DTPRNPK,Color: Black,"August 25, 2020",Verified Purchase,Good and easy to use,  This portable air conditioner fan Is a MUST!Easy to carry around and easy to use.You can plug it in a USB port and use it anywhere.,Saim Mohammad,5.0,Good and easy to use  This portable air conditioner fan Is a MUST!Easy to carry around and easy to use.You can plug it in a USB port and use it anywhere.
225,225,B08DTPRNPK,Color: Blue,"August 25, 2020",Verified Purchase,A touch cooler...,"  It's got its own battery which is great.  It's powerful enough as a personal fan, and comes in a cute little cube shape.  With ice water, i measure 4-5F cooler than the surrounding air temperature.  Nothing amazing but it will feel a touch cooler.  It has a light function which is useless but it's there.  The ""modes"" function is annoying and pointless.  It also leaks if you tip it to one side or another, which is also annoying.Overall it's just ""okay"" and i'm sure there are better evaporative coolers out there.",Angela Davis,3.0,"A touch cooler...  It's got its own battery which is great.  It's powerful enough as a personal fan, and comes in a cute little cube shape.  With ice water, i measure 4-5F cooler than the surrounding air temperature.  Nothing amazing but it will feel a touch cooler.  It has a light function which is useless but it's there.  The ""modes"" function is annoying and pointless.  It also leaks if you tip it to one side or another, which is also annoying.Overall it's just ""okay"" and i'm sure there are better evaporative coolers out there."
226,226,B08DTPRNPK,Color: Blue,"August 25, 2020",Verified Purchase,Stop working after 3 days,"  Purchase two of these, came in a timely fashion however one became inoperable after only three days.",Michelle Reynolds,3.0,"Stop working after 3 days  Purchase two of these, came in a timely fashion however one became inoperable after only three days."
227,227,B08DTPRNPK,Color: Black,"August 25, 2020",Verified Purchase,Cool & comfy,  We bought this to use while camping last weekend.  It was hot and muggy.  Air wasn’t moving.  Turned this little guy on and breathed easy until morning.,Dflag1234,5.0,Cool & comfy  We bought this to use while camping last weekend.  It was hot and muggy.  Air wasn’t moving.  Turned this little guy on and breathed easy until morning.
228,228,B08DTPRNPK,Color: Black,"August 25, 2020",Verified Purchase,Amazing Fan,  It works wonderful. It is quiet and there are three different air settings. I keep it on low at night and it feels really nice. You can also add water to it to make the air more humid. It’s an amazing little fan.,Ivy Liu,5.0,Amazing Fan  It works wonderful. It is quiet and there are three different air settings. I keep it on low at night and it feels really nice. You can also add water to it to make the air more humid. It’s an amazing little fan.
229,229,B08DTPRNPK,Color: White,"August 25, 2020",Verified Purchase,Doesn’t blow cold air and blows very little air,"  The entire product is fundamentally flawed. The compartment for ice is so small and barely holds any ice or water. As a result, it doesn’t blow cold air. It barely blows any air at all. Its just a light breeze. If you slightly move the fan a lot of the water falls out making it a hazard next to electronics. The product is also very small and very noisy for the minimal air it blows.However, there are three things that are good about the product. It has a night light if you hold the second button and you can tilt where the slight air blows similar to a car. It also has a 2000 mAh built in battery.However, despite these nice things this fan offers, it doesn’t change the fact that the product’s main purpose doesn’t work. At the end it’s just a fan that leaks water and barely blows any air. Even if it was cheaper than the current price, I can’t recommend this product. At about $40, it’s just not worth it.",Amazon Customer,1.0,"Doesn’t blow cold air and blows very little air  The entire product is fundamentally flawed. The compartment for ice is so small and barely holds any ice or water. As a result, it doesn’t blow cold air. It barely blows any air at all. Its just a light breeze. If you slightly move the fan a lot of the water falls out making it a hazard next to electronics. The product is also very small and very noisy for the minimal air it blows.However, there are three things that are good about the product. It has a night light if you hold the second button and you can tilt where the slight air blows similar to a car. It also has a 2000 mAh built in battery.However, despite these nice things this fan offers, it doesn’t change the fact that the product’s main purpose doesn’t work. At the end it’s just a fan that leaks water and barely blows any air. Even if it was cheaper than the current price, I can’t recommend this product. At about $40, it’s just not worth it."
230,230,B08DTPRNPK,Color: White,"August 25, 2020",Verified Purchase,Ice required for AC effect,  Apparently you have to add ice for the AC cooling factor effect. I wish I had known this was nothing more than a tiny portable fan otherwise before I bought it but thank goodness for returns as I am now looking for the real deal that doesn’t require ice to operate as advertised,Bianca cooper,1.0,Ice required for AC effect  Apparently you have to add ice for the AC cooling factor effect. I wish I had known this was nothing more than a tiny portable fan otherwise before I bought it but thank goodness for returns as I am now looking for the real deal that doesn’t require ice to operate as advertised
231,231,B08DTPRNPK,Color: Black,"August 25, 2020",Verified Purchase,Easy to use!,"  Very easy to use right from the start, and it blows some cold air! Our trailer ac isn’t working at the moment, so I’m excited to have this little unit to bring along for some relief from the heat. My daughter overheats easily, so we’re constantly putting her in the truck to run the ac to cool down. Not anymore!",Amanda S,5.0,"Easy to use!  Very easy to use right from the start, and it blows some cold air! Our trailer ac isn’t working at the moment, so I’m excited to have this little unit to bring along for some relief from the heat. My daughter overheats easily, so we’re constantly putting her in the truck to run the ac to cool down. Not anymore!"
232,232,B08DTPRNPK,Color: White,"August 24, 2020",Verified Purchase,Don't bother,  Probably the biggest waste of money all year.  Does not push air well or get very cold,Rose Stafford,1.0,Don't bother  Probably the biggest waste of money all year.  Does not push air well or get very cold
233,233,B08DTPRNPK,Color: Blue,"August 24, 2020",Verified Purchase,Pleasantly surprised!,"  so tiny but so good!!! It's only about 5 inches tall but very powerful, you feel the cold air instantly.  It has 3 speed settings and a nightlight, includes a water bottle with long nozzle for easy refilling.  I highly recommend it for small spaces,  my son uses it on his desk to keep cool at night and during the day while he's on online school. Very satisfied with the purchase.",maria sandoval,5.0,"Pleasantly surprised!  so tiny but so good!!! It's only about 5 inches tall but very powerful, you feel the cold air instantly.  It has 3 speed settings and a nightlight, includes a water bottle with long nozzle for easy refilling.  I highly recommend it for small spaces,  my son uses it on his desk to keep cool at night and during the day while he's on online school. Very satisfied with the purchase."
234,234,B08DTPRNPK,Color: Black,"August 24, 2020",Verified Purchase,"It's okay, overpriced","  It's a tiny fan. Not an air conditioner by any stretch. Even when you put ice in it it only mildly changes the air temperature. The airflow is strong and it works great as a table/desktop fan, I wouldn't pay this price again though.",Shawna Canavesio,3.0,"It's okay, overpriced  It's a tiny fan. Not an air conditioner by any stretch. Even when you put ice in it it only mildly changes the air temperature. The airflow is strong and it works great as a table/desktop fan, I wouldn't pay this price again though."
235,235,B08DTPRNPK,Color: White,"August 24, 2020",Verified Purchase,Product barley works,  Barley blows out any cold air,Jason Black,1.0,Product barley works  Barley blows out any cold air
236,236,B08DTPRNPK,Color: Black,"August 23, 2020",Verified Purchase,Money scam,  Arrived and does not work. So tiny CANNOT FIT ICE. TERRIBLE BUY. The size of my hand and doesn’t even work.,Kathleen G.,1.0,Money scam  Arrived and does not work. So tiny CANNOT FIT ICE. TERRIBLE BUY. The size of my hand and doesn’t even work.
237,237,B08DTPRNPK,Color: Black,"August 23, 2020",Verified Purchase,Cool,  Great for my son’s desk .  My son was able to set it up with no help .  Was able to cool his room down in no time .,Kambrel Shafer,5.0,Cool  Great for my son’s desk .  My son was able to set it up with no help .  Was able to cool his room down in no time .
238,238,B08DTPRNPK,Color: White,"August 23, 2020",Verified Purchase,DO NOT WASTE YOUR MONEY,  This does not work at all. Its no different then a small fan. Im returning it ASAP.  Definitely not worth the price I spent,Cheryl R.,1.0,DO NOT WASTE YOUR MONEY  This does not work at all. Its no different then a small fan. Im returning it ASAP.  Definitely not worth the price I spent
239,239,B08DTPRNPK,Color: White,"August 23, 2020",Verified Purchase,You can bring anywhere because its rechargeable,  Like it...use everyday.,Susan Antonio,5.0,You can bring anywhere because its rechargeable  Like it...use everyday.
240,240,B08DTPRNPK,Color: Black,"August 23, 2020",Verified Purchase,Great portable AC,"  It’s a great portable AC. Perfect to take to a picnic, camping, or anywhere outdoors during extreme warmth. Extremely cooling, the third setting is like sticking your body in the freezer! Awesome price point. Very good quality.",Manal,5.0,"Great portable AC  It’s a great portable AC. Perfect to take to a picnic, camping, or anywhere outdoors during extreme warmth. Extremely cooling, the third setting is like sticking your body in the freezer! Awesome price point. Very good quality."
241,241,B08DTPRNPK,Color: Black,"August 23, 2020",Verified Purchase,Powerful,  Nice little air conditioner. It holds a really good charge. I have not charged it yet and I've used it to three times. It is nice to have after getting sweaty and sitting down to rest with theair conditioner on!,Anne Wilson,5.0,Powerful  Nice little air conditioner. It holds a really good charge. I have not charged it yet and I've used it to three times. It is nice to have after getting sweaty and sitting down to rest with theair conditioner on!
242,242,B08DTPRNPK,Color: Black,"August 23, 2020",Verified Purchase,Do Not Buy,  Waste of money. Nothing more than a tiny fan in a black box. Does not generate cool air.,benjamin graves,1.0,Do Not Buy  Waste of money. Nothing more than a tiny fan in a black box. Does not generate cool air.
243,243,B08DTPRNPK,Color: Black,"August 23, 2020",Verified Purchase,Weak and not cool enough...,"  The wind is too weak, even I put on the table I couldn’t feel the wind. The fan is too small. Will return it....by the way the fan seems like used. I don’t really care someone used it before. I just care the product didn’t work well...weak wind and too small.",Kiki ,3.0,"Weak and not cool enough...  The wind is too weak, even I put on the table I couldn’t feel the wind. The fan is too small. Will return it....by the way the fan seems like used. I don’t really care someone used it before. I just care the product didn’t work well...weak wind and too small."
244,244,B08DTPRNPK,Color: Black,"August 22, 2020",Verified Purchase,Perfect solution to the hot humid socal weather!,"  Wow just wow! So it gets really hot here in socal and this thing is the perfect solution to that problem! All you gotta do is just put in some ice cubes in the tray (or even cold water) and turn it on and boom, you got yourself a personal mini air conditioner that is going to cool you down! I recently found that it also has really cool dim lights in it which you can use during night time (to turn them on all you do is long press on the ""M"" button). I still can't believe this thing is only $33. At that price, this is just a steal! Really satisfied.",Shanto,5.0,"Perfect solution to the hot humid socal weather!  Wow just wow! So it gets really hot here in socal and this thing is the perfect solution to that problem! All you gotta do is just put in some ice cubes in the tray (or even cold water) and turn it on and boom, you got yourself a personal mini air conditioner that is going to cool you down! I recently found that it also has really cool dim lights in it which you can use during night time (to turn them on all you do is long press on the ""M"" button). I still can't believe this thing is only $33. At that price, this is just a steal! Really satisfied."
245,245,B08DTPRNPK,Color: Black,"August 22, 2020",Verified Purchase,Read the description and dimensions before purchasing.,  It's a desktop Air Cooler. It works by inserting water inside the fan in the tray. You can also add ice to make it extra cold. It lasts a good hour or so before you need to add more water. It has a battery so no need to have it plugged in. Works decent.,Ahmed,5.0,Read the description and dimensions before purchasing.  It's a desktop Air Cooler. It works by inserting water inside the fan in the tray. You can also add ice to make it extra cold. It lasts a good hour or so before you need to add more water. It has a battery so no need to have it plugged in. Works decent.
246,246,B08DTPRNPK,Color: Black,"August 22, 2020",Verified Purchase,Portable air conditioner,  This product is perfect its not to big where i can take it anywhere it gets the job done. Im planning on using it next week when i go to the beach. I would definitely recommend it.,Fanette Lubrun,5.0,Portable air conditioner  This product is perfect its not to big where i can take it anywhere it gets the job done. Im planning on using it next week when i go to the beach. I would definitely recommend it.
247,247,B08DTPRNPK,Color: Black,"August 22, 2020",Verified Purchase,Portable rechargeable ac/fan,  I live in California and it's been really hot lately and bought this portable ac which is rechargeable as well really hits the spot it doesn't blow as much as I would like but the air is really cold if you follow the ice water process,Brian Mc28,5.0,Portable rechargeable ac/fan  I live in California and it's been really hot lately and bought this portable ac which is rechargeable as well really hits the spot it doesn't blow as much as I would like but the air is really cold if you follow the ice water process
248,248,B08DTPRNPK,Color: Blue,"August 22, 2020",Verified Purchase,Not worth your money,  Might as well just buy a fan,Shauna,1.0,Not worth your money  Might as well just buy a fan
249,249,B08DTPRNPK,Color: Black,"August 21, 2020",Verified Purchase,weak performance,  The fan isn't very powerful. Also when you turn it up to the highest setting it doesn't stay running. it goes then stops then goes then stops.,Catiera Shaw,2.0,weak performance  The fan isn't very powerful. Also when you turn it up to the highest setting it doesn't stay running. it goes then stops then goes then stops.
250,250,B08DTPRNPK,Color: Black,"August 21, 2020",Verified Purchase,Easy climate change,"  This has been a game changer. My work environment doesn’t allow me to change the climate temperature, so this portable air conditioner allows me to cool off when it’s too warm. It’s small enough to fit on my desk, or even under my desk!",MrsWhitleyKaranja,5.0,"Easy climate change  This has been a game changer. My work environment doesn’t allow me to change the climate temperature, so this portable air conditioner allows me to cool off when it’s too warm. It’s small enough to fit on my desk, or even under my desk!"
251,251,B08DTPRNPK,Color: Black,"August 21, 2020",Verified Purchase,Great little thing,"  This is small (chapstick shown for comparison), but it's a perfect little evaporative cooler for a desk like at the office or a school desk. It is noticeably cooler than the air we get normally, and it is super easy to fill the water tank. Also, it doesn't seem loud. Even though the fan works really hard to get a lot of air through, it is smooth and just is white noise, so it doesn't bother my wife nor I even at night.",K. Hicken,5.0,"Great little thing  This is small (chapstick shown for comparison), but it's a perfect little evaporative cooler for a desk like at the office or a school desk. It is noticeably cooler than the air we get normally, and it is super easy to fill the water tank. Also, it doesn't seem loud. Even though the fan works really hard to get a lot of air through, it is smooth and just is white noise, so it doesn't bother my wife nor I even at night."
252,252,B08DTPRNPK,Color: Black,"August 21, 2020",Verified Purchase,smaller than I expected,"  It is seriously tiny.  Check the dimensions before buying, don't just go by the photos like I did. Here is a photo with a woman's hand for you.  It works well for tour such a tiny thing, I guess, I don't have anything to compare it to.  It's kind of hard to get the water in, you have to use a special plastic dropper for it, the dropper comes in the package.  Basically, if you lose the dropper you won't be able to get the water in.  Getting ice in seems impossible. It uses up the water fast, so it works as hard as it can.  The battery lasts a while, much longer than water.  It uses a similar charger to your phone, which is, again, indicative of it's size and power capacity.I don't think it makes any sense to buy it for use at home because of its size. It might make sense to take it with you on the go, since it's so compact and holds the charge well. You might even be able to use it while walking.",Olesia,3.0,"smaller than I expected  It is seriously tiny.  Check the dimensions before buying, don't just go by the photos like I did. Here is a photo with a woman's hand for you.  It works well for tour such a tiny thing, I guess, I don't have anything to compare it to.  It's kind of hard to get the water in, you have to use a special plastic dropper for it, the dropper comes in the package.  Basically, if you lose the dropper you won't be able to get the water in.  Getting ice in seems impossible. It uses up the water fast, so it works as hard as it can.  The battery lasts a while, much longer than water.  It uses a similar charger to your phone, which is, again, indicative of it's size and power capacity.I don't think it makes any sense to buy it for use at home because of its size. It might make sense to take it with you on the go, since it's so compact and holds the charge well. You might even be able to use it while walking."
253,253,B08DTPRNPK,Color: Black,"August 21, 2020",Verified Purchase,Works good,  I see this product online and and made my mind to give this product a try and order one for my bedside. And its a great personal cooler . It works better if you put this on your side tabe and its face directly poiting towards you . It is great for small jobs and its portability makes it more awesome . Having a battery in this size is great. You can also adjust the slides . That is also cool feature to have,Haider Saleem,5.0,Works good  I see this product online and and made my mind to give this product a try and order one for my bedside. And its a great personal cooler . It works better if you put this on your side tabe and its face directly poiting towards you . It is great for small jobs and its portability makes it more awesome . Having a battery in this size is great. You can also adjust the slides . That is also cool feature to have
254,254,B08DTPRNPK,Color: Black,"August 21, 2020",Verified Purchase,Small but mighty!,  So I wanted to give this some time before I reviewed just to see if it had any issues but it didn’t! We have an older home so the AC upstairs doesn’t cool off the best. My kid is now having to do distance learning upstairs in his room so I wanted to find something that helped keep him cool. I was skeptical at first because I was bamboozled out of $98 from another one similar that literally broke in 2 days. Not this one! It’s a fraction of the cost and stays cool and comfortable on his desk! Highly recommend!,Vanessa,5.0,Small but mighty!  So I wanted to give this some time before I reviewed just to see if it had any issues but it didn’t! We have an older home so the AC upstairs doesn’t cool off the best. My kid is now having to do distance learning upstairs in his room so I wanted to find something that helped keep him cool. I was skeptical at first because I was bamboozled out of $98 from another one similar that literally broke in 2 days. Not this one! It’s a fraction of the cost and stays cool and comfortable on his desk! Highly recommend!
255,255,B08DTPRNPK,Color: Black,"August 21, 2020",Verified Purchase,Strong little a/c unit,  Nifty little unit. Since working from home I try to work outside as often as I can but it gets too hot. I thought this would help and I was right. Nifty little air conditioner unit put right in front of me outside keeps me cool for the day,Alex,5.0,Strong little a/c unit  Nifty little unit. Since working from home I try to work outside as often as I can but it gets too hot. I thought this would help and I was right. Nifty little air conditioner unit put right in front of me outside keeps me cool for the day
256,256,B08DTPRNPK,Color: White,"August 20, 2020",Verified Purchase,WASTE OF MONEY. Don’t buy!,  WASTE OF MONEY. You can barely feel the coldness 2 inches away. I bought this in hopes of cooling down my side of the bedroom at night but this doesn’t do a thing. It’s so weak and falsely advertised. I don’t understand all the positive reviews whatsoever.,Lynn,1.0,WASTE OF MONEY. Don’t buy!  WASTE OF MONEY. You can barely feel the coldness 2 inches away. I bought this in hopes of cooling down my side of the bedroom at night but this doesn’t do a thing. It’s so weak and falsely advertised. I don’t understand all the positive reviews whatsoever.
257,257,B08DTPRNPK,Color: Black,"August 20, 2020",Verified Purchase,Don’t bother.,  Ok.  I have a tiny space that I live in.  I had hoped this portable ac would be what I need.  Nope.  It’s very small.  Smaller than my desk top fan.  And it only keeps you cool if your right on top of it.  I would not recommend this to anyone.,Kathy Lilly,3.0,Don’t bother.  Ok.  I have a tiny space that I live in.  I had hoped this portable ac would be what I need.  Nope.  It’s very small.  Smaller than my desk top fan.  And it only keeps you cool if your right on top of it.  I would not recommend this to anyone.
258,258,B08DTPRNPK,Color: Black,"August 20, 2020",Verified Purchase,I'd bring this everywhere if I could!,"  Great for camping! This is exactly what we needed for those hot summer nights while camping. It's easy to use and lightweight. And best of all, its blows COLD air!",Michelle,5.0,"I'd bring this everywhere if I could!  Great for camping! This is exactly what we needed for those hot summer nights while camping. It's easy to use and lightweight. And best of all, its blows COLD air!"
259,259,B08DTPRNPK,Color: Black,"August 19, 2020",Verified Purchase,Perfect for desk,  Super lightweight and perfect for your desk. Nice fan and if you add ice its very cooling.,jocelyn,5.0,Perfect for desk  Super lightweight and perfect for your desk. Nice fan and if you add ice its very cooling.
260,260,B08DTPRNPK,Color: Black,"August 19, 2020",Verified Purchase,It kept me cool all night,  The product was smaller than I expected but worked really well. I kept me cool all night and the battery life is pretty nice. Putting a couple ice cubes in the tray helps with cooling a lot. Overall a pretty good product,Raymond,5.0,It kept me cool all night  The product was smaller than I expected but worked really well. I kept me cool all night and the battery life is pretty nice. Putting a couple ice cubes in the tray helps with cooling a lot. Overall a pretty good product
261,261,B08DTPRNPK,Color: Black,"August 19, 2020",Verified Purchase,"Quiet, cool and keeps the mosquitoes away!","  I used this portable a/c outdoor, while chilling in my patio. It helped me cool down and keep the mosquitoes away. Works well indoor and outdoor, just add a couple of ice cubes in the water for a more cooling effect.",NP,5.0,"Quiet, cool and keeps the mosquitoes away!  I used this portable a/c outdoor, while chilling in my patio. It helped me cool down and keep the mosquitoes away. Works well indoor and outdoor, just add a couple of ice cubes in the water for a more cooling effect."
262,262,B08DTPRNPK,Color: White,"August 19, 2020",Verified Purchase,Biggest piece of junk - DONT NOT WASTE YOUR MONEY,"  Ok, I am not sure if the reviews that gave it 5 stars where gifted there's for a review but I'm honestly scratching my head as to why anyone would give this 5 stars??  First off it is small.  And that's ok as they say it's small. But just be prepared for SMALL.  I filled it with water and it immediately dribbled out the bottom.  When you put the water in btw if you tip it ever so slightly in any direction the water falls out as there is no chamber container that holds the water in. (See pictures) and where it says to put ice in is a joke.  you have to chop your ice into little pieces the size of your finger nails to fit it in.  (Again see the size of ice container in pictures, plus that ice cube is small.  It is smaller than the regular size ice cube tray) So the water falls out everywhere and it can't hold regular size ice cubes so really all you are left with is a tiny fan that unless you are less than a foot away from it you can even feel the air....  So, this is a big run for your life warning and dont make the same mistake as me and waste your money.",Larry and Cricket,1.0,"Biggest piece of junk - DONT NOT WASTE YOUR MONEY  Ok, I am not sure if the reviews that gave it 5 stars where gifted there's for a review but I'm honestly scratching my head as to why anyone would give this 5 stars??  First off it is small.  And that's ok as they say it's small. But just be prepared for SMALL.  I filled it with water and it immediately dribbled out the bottom.  When you put the water in btw if you tip it ever so slightly in any direction the water falls out as there is no chamber container that holds the water in. (See pictures) and where it says to put ice in is a joke.  you have to chop your ice into little pieces the size of your finger nails to fit it in.  (Again see the size of ice container in pictures, plus that ice cube is small.  It is smaller than the regular size ice cube tray) So the water falls out everywhere and it can't hold regular size ice cubes so really all you are left with is a tiny fan that unless you are less than a foot away from it you can even feel the air....  So, this is a big run for your life warning and dont make the same mistake as me and waste your money."
263,263,B08DTPRNPK,Color: White,"August 19, 2020",Verified Purchase,Not worth it!,"  This was not what I expected! It was as if it I received a different item. It had no pull out tray for the ice, and it did not cool at all. Not to mention it is so small there is no way it would cool a room!",Patty Wilson,1.0,"Not worth it!  This was not what I expected! It was as if it I received a different item. It had no pull out tray for the ice, and it did not cool at all. Not to mention it is so small there is no way it would cool a room!"
264,264,B08DTPRNPK,Color: Black,"August 19, 2020",Verified Purchase,Chargeable travel fan,  I used the fan at night at our cottage where electrical outlets aren't close so the charging capabilities really came in handy. Also used it outside on the table to provide a little air movement.,Angela Dehaan,5.0,Chargeable travel fan  I used the fan at night at our cottage where electrical outlets aren't close so the charging capabilities really came in handy. Also used it outside on the table to provide a little air movement.
265,265,B08DTPRNPK,Color: Black,"August 18, 2020",Verified Purchase,Surprisingly Affective!,  This is a nice little air conditioner fan! It’s pretty small so Don’t expect it to cool an entire room but fill it up with ice water and it will definitely keep it you cool. It has a nice little light and is battery operated so doesn’t have to be plugged in. It’s does the job and at a good price.,Shehryar,5.0,Surprisingly Affective!  This is a nice little air conditioner fan! It’s pretty small so Don’t expect it to cool an entire room but fill it up with ice water and it will definitely keep it you cool. It has a nice little light and is battery operated so doesn’t have to be plugged in. It’s does the job and at a good price.
266,266,B08DTPRNPK,Color: Black,"August 18, 2020",Verified Purchase,Kept Me Cool,"  Very nice product. This was great to use outside because I get too hot sometimes. I charged it inside for a few hours, brought it out with me, and kept my personal space cool.",ortivero,5.0,"Kept Me Cool  Very nice product. This was great to use outside because I get too hot sometimes. I charged it inside for a few hours, brought it out with me, and kept my personal space cool."
267,267,B08DTPRNPK,Color: Black,"August 18, 2020",Verified Purchase,Compact cooler fan,  I bought this cooler fan to use it in my work desk. I really like this fan as its very compact and does the job perfectly well. It has three speed and can be adjusted.  The only downside is you need to check and fill in water to get cool air if not you can use it just like a fan. It's very compact and you can carry it wherever you go. I'm planning to take this for my road trip.,vaishnavi,5.0,Compact cooler fan  I bought this cooler fan to use it in my work desk. I really like this fan as its very compact and does the job perfectly well. It has three speed and can be adjusted.  The only downside is you need to check and fill in water to get cool air if not you can use it just like a fan. It's very compact and you can carry it wherever you go. I'm planning to take this for my road trip.
268,268,B08DTPRNPK,Color: Black,"August 18, 2020",Verified Purchase,Does the job for a small room,  Easy to use. Add water and some icecubes and let it to it's job.  Keeps me cool in my office and I've now used it in my pop up camper.  The rechargeable battery is handy as well.,David C. Behnke,5.0,Does the job for a small room  Easy to use. Add water and some icecubes and let it to it's job.  Keeps me cool in my office and I've now used it in my pop up camper.  The rechargeable battery is handy as well.
269,269,B08DTPRNPK,Color: Black,"August 18, 2020",Verified Purchase,Cool little ac . light weight awesome for camping.,  Cool little ac you just charge and add water . we tried it in our room and it seemed to work well . we can't wait to take it camping with us next month,serina,5.0,Cool little ac . light weight awesome for camping.  Cool little ac you just charge and add water . we tried it in our room and it seemed to work well . we can't wait to take it camping with us next month
270,270,B08DTPRNPK,Color: Black,"August 18, 2020",Verified Purchase,Personal fan,  Bought for work- small and compact size makes it easy to carry and it moves air good too,Ashlee s.,5.0,Personal fan  Bought for work- small and compact size makes it easy to carry and it moves air good too
